epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.95485,1.96653,5.09847,1.38955,0,0,0,0,1.56576,4.82529,1.14909,1.428e-05,1.428e-05,1.428e-05
2,7.68427,1.87103,5.05755,1.29495,0,0,0,0,1.36128,4.7643,1.0437,3.19179e-05,3.19179e-05,3.19179e-05
3,9.85168,1.41291,4.81976,1.10546,0,0,0,0,1.36395,4.73722,0.99514,4.93203e-05,4.93203e-05,4.93203e-05
4,11.6673,1.34039,4.66928,0.99857,0,0,0,0,1.36074,4.60274,0.9398,6.6487e-05,6.6487e-05,6.6487e-05
5,13.4522,1.24005,4.55246,0.93666,0,0,0,0,1.18375,4.45071,0.87195,8.3418e-05,8.3418e-05,8.3418e-05
6,15.1491,1.22855,4.40151,0.9316,0,0,0,0,1.16418,4.41399,0.86349,0.000100114,0.000100114,0.000100114
7,17.0358,1.17263,4.18809,0.92807,0.01443,0.07407,0.00494,0.00325,1.30958,4.44527,0.90467,0.000116573,0.000116573,0.000116573
8,19.0152,1.13923,4.09665,0.91849,0.03151,0.21759,0.02079,0.01235,1.32024,4.36532,0.9122,0.000132798,0.000132798,0.000132798
9,21.9426,1.1163,3.96219,0.91016,0.03598,0.44907,0.03729,0.02294,1.11882,4.15711,0.87234,0.000148786,0.000148786,0.000148786
10,23.7482,1.11684,3.67966,0.92949,0.03297,0.63889,0.04971,0.03054,1.20126,4.03539,0.89458,0.000164539,0.000164539,0.000164539
11,25.5484,1.13537,3.64129,0.91705,0.03433,0.80093,0.06073,0.03702,1.3254,3.87648,0.92819,0.000180057,0.000180057,0.000180057
12,27.3837,1.10143,3.48478,0.90886,0.04026,0.875,0.07224,0.05126,1.05063,3.68188,0.87672,0.000195338,0.000195338,0.000195338
13,29.2692,1.08043,3.39276,0.91024,0.03712,0.92593,0.08278,0.05942,1.03563,3.59702,0.87685,0.000210384,0.000210384,0.000210384
14,31.0636,1.04569,3.30438,0.9025,0.03665,0.95833,0.10325,0.07356,1.07027,3.45148,0.89055,0.000225195,0.000225195,0.000225195
15,33.6254,1.02895,3.29977,0.91086,0.0369,0.96296,0.12184,0.0853,1.12476,3.39228,0.90359,0.00023977,0.00023977,0.00023977
16,36.0604,1.05558,3.20485,0.9096,0.03747,0.96759,0.12983,0.09596,0.99219,3.35782,0.87991,0.000254109,0.000254109,0.000254109
17,37.8112,0.98959,2.99692,0.90156,0.03897,0.95833,0.13185,0.10197,0.90842,3.3585,0.86525,0.000268213,0.000268213,0.000268213
18,39.6693,0.98054,2.95771,0.90369,0.03842,0.96296,0.1409,0.10831,0.9342,3.31713,0.8714,0.000282081,0.000282081,0.000282081
19,41.6841,0.93437,2.89723,0.90574,0.03803,0.98148,0.14933,0.10835,1.05405,3.26814,0.89574,0.000295713,0.000295713,0.000295713
20,43.4532,0.92378,2.85492,0.91027,0.03806,0.99074,0.18878,0.14442,0.9317,3.12106,0.87816,0.00030911,0.00030911,0.00030911
21,45.2097,0.9872,2.88207,0.924,0.03853,0.99537,0.20257,0.1598,0.87216,3.07896,0.86918,0.000309876,0.000309876,0.000309876
22,48.0706,0.97681,2.79401,0.88893,0.03845,0.99537,0.21355,0.16363,0.92602,3.03686,0.87661,0.00030752,0.00030752,0.00030752
23,50.1575,0.92087,2.70707,0.89251,0.10183,0.56944,0.22722,0.15934,1.13397,3.02265,0.91299,0.000305164,0.000305164,0.000305164
24,51.8431,0.96322,2.7798,0.88442,0.46032,0.16563,0.23272,0.17798,0.93971,2.85783,0.87962,0.000302807,0.000302807,0.000302807
25,53.6714,0.88328,2.57856,0.8954,0.33133,0.24989,0.23912,0.1865,0.87524,2.71023,0.87109,0.000300451,0.000300451,0.000300451
26,55.4581,0.93508,2.60094,0.88738,0.35692,0.32811,0.24585,0.18888,0.93689,2.59721,0.88424,0.000298095,0.000298095,0.000298095
27,57.3019,0.9259,2.52146,0.88567,0.33389,0.34768,0.25137,0.18986,0.96955,2.52622,0.89597,0.000295739,0.000295739,0.000295739
28,59.2775,0.9552,2.52333,0.90444,0.23436,0.41374,0.28578,0.21625,0.94538,2.38412,0.90108,0.000293383,0.000293383,0.000293383
29,62.1744,0.89028,2.41549,0.88998,0.20816,0.45223,0.32016,0.24673,0.88105,2.31301,0.88816,0.000291026,0.000291026,0.000291026
30,64.195,0.87001,2.45024,0.89313,0.21316,0.49848,0.32665,0.25599,0.84699,2.26114,0.88028,0.00028867,0.00028867,0.00028867
31,65.9562,0.87063,2.34801,0.89482,0.22391,0.48352,0.34451,0.26671,0.89793,2.21506,0.88802,0.000286314,0.000286314,0.000286314
32,67.732,0.82362,2.24946,0.87794,0.24522,0.52558,0.36123,0.2838,0.8562,2.17775,0.88174,0.000283958,0.000283958,0.000283958
33,69.518,0.84418,2.26948,0.88714,0.27837,0.57154,0.37948,0.30182,0.83023,2.13207,0.87851,0.000281602,0.000281602,0.000281602
34,71.2809,0.85445,2.2437,0.90166,0.27873,0.59144,0.37616,0.30086,0.83271,2.11814,0.88033,0.000279245,0.000279245,0.000279245
35,73.2027,0.86028,2.17482,0.88981,0.25061,0.63058,0.38086,0.29122,0.90622,2.09148,0.89516,0.000276889,0.000276889,0.000276889
36,76.1045,0.92645,2.2224,0.87997,0.27645,0.59828,0.41661,0.32949,0.80696,2.00891,0.87721,0.000274533,0.000274533,0.000274533
37,77.903,0.90302,2.15633,0.90226,0.30369,0.59977,0.41957,0.32165,0.8839,2.02487,0.89498,0.000272177,0.000272177,0.000272177
38,79.6416,0.86766,2.06413,0.91198,0.32025,0.61238,0.42492,0.33105,0.86177,2.02035,0.88497,0.000269821,0.000269821,0.000269821
39,81.519,0.82127,2.12878,0.87955,0.33424,0.58292,0.43056,0.34512,0.76251,1.99477,0.86216,0.000267464,0.000267464,0.000267464
40,83.2794,0.81353,2.03714,0.88597,0.31937,0.58083,0.44779,0.35974,0.78136,1.93991,0.86522,0.000265108,0.000265108,0.000265108
41,85.0629,0.85473,1.98537,0.8928,0.32879,0.6142,0.46052,0.37197,0.7503,1.90525,0.85927,0.000262752,0.000262752,0.000262752
