epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03441,1.7313,12.1641,1.44415,0,0,0,0,1.1978,11.333,1.10622,1.428e-05,1.428e-05,1.428e-05
2,4.43069,1.65932,12.204,1.3922,0,0,0,0,1.06706,11.2656,1.02378,3.19179e-05,3.19179e-05,3.19179e-05
3,5.96966,1.33549,11.5106,1.20609,0,0,0,0,1.12276,11.0315,0.97781,4.93203e-05,4.93203e-05,4.93203e-05
4,8.18364,1.18963,11.2804,1.06442,0,0,0,0,1.15477,10.7363,0.93832,6.6487e-05,6.6487e-05,6.6487e-05
5,9.93856,1.15909,10.934,1.00978,0,0,0,0,1.03064,10.3072,0.86816,8.3418e-05,8.3418e-05,8.3418e-05
6,11.5466,1.11942,10.4897,0.97397,0,0,0,0,1.00615,10.1928,0.85987,0.000100114,0.000100114,0.000100114
7,13.1432,1.07221,9.95649,0.97762,0.02394,0.2963,0.0283,0.01723,1.20721,10.2509,0.9103,0.000116573,0.000116573,0.000116573
8,14.6457,1.03513,9.79554,0.95603,0.03895,0.58796,0.05776,0.03836,1.19188,9.97404,0.91302,0.000132798,0.000132798,0.000132798
9,16.2638,1.02027,9.50922,0.95273,0.03668,0.86111,0.07261,0.05361,0.97183,9.36922,0.86741,0.000148786,0.000148786,0.000148786
10,17.7808,1.01999,9.04677,0.97738,0.03487,0.88426,0.08573,0.0602,1.07252,9.10555,0.89239,0.000164539,0.000164539,0.000164539
11,19.4142,1.01897,8.82967,0.97678,0.03477,0.88426,0.1031,0.07149,1.12326,8.88099,0.90514,0.000180057,0.000180057,0.000180057
12,21.6345,1.01776,8.73699,0.97488,0.03508,0.88889,0.11468,0.09014,0.8686,8.5393,0.87207,0.000195338,0.000195338,0.000195338
13,23.4329,1.0228,8.33749,0.97638,0.03817,0.91204,0.12516,0.0977,0.86955,8.37665,0.88842,0.000210384,0.000210384,0.000210384
14,24.9489,0.96827,8.17522,0.95874,0.04013,0.96296,0.15201,0.11072,1.01558,8.14166,0.94237,0.000225195,0.000225195,0.000225195
