vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2,y2,group_id,group_x_center,group_y_center,group_width,group_height
3.1164,-47.8625,381.9853,213.1049,72.5804,54.5427,0.1674,0.0328,0.0016,0.0034,0.0036,0.0001,0.0011,0.0000,0.0002,0.0018,0.0259,0.0023,0.0002,0.0087,0.0012,0.0018,0.0161,0.0123,0.0211,0.6741,0.7335,0.8594,0.6953,0.1898,345.6950,185.8335,418.2755,240.3763,1,382.2900,213.3200,72.7900,54.9300
2.7286,-48.0734,382.5380,213.3508,73.2358,55.1208,0.0805,0.0175,0.0011,0.0025,0.0014,0.0002,0.0009,0.0000,0.0002,0.0008,0.0377,0.0013,0.0003,0.0063,0.0012,0.0017,0.0103,0.0075,0.0197,0.5414,0.6527,0.7591,0.7047,0.1646,345.9201,185.7905,419.1559,240.9112,1,382.2900,213.3200,72.7900,54.9300
2.4217,-51.8084,382.4309,213.5565,72.7379,55.2776,0.1113,0.0205,0.0018,0.0031,0.0056,0.0002,0.0007,0.0000,0.0001,0.0024,0.0166,0.0008,0.0005,0.0102,0.0010,0.0018,0.0298,0.0229,0.0253,0.5423,0.6834,0.7330,0.3971,0.0676,346.0620,185.9177,418.7998,241.1953,1,382.2900,213.3200,72.7900,54.9300
2.3714,-46.7564,382.2137,213.1284,73.0120,54.9660,0.0959,0.0357,0.0011,0.0061,0.0014,0.0002,0.0006,0.0000,0.0004,0.0016,0.0275,0.0012,0.0005,0.0068,0.0006,0.0010,0.0062,0.0076,0.0093,0.4288,0.6361,0.6444,0.5272,0.1933,345.7076,185.6454,418.7197,240.6114,1,382.2900,213.3200,72.7900,54.9300
2.3708,-49.2955,382.6540,213.3176,73.1963,55.3875,0.0847,0.0266,0.0013,0.0061,0.0034,0.0002,0.0005,0.0000,0.0002,0.0033,0.0179,0.0006,0.0003,0.0101,0.0009,0.0025,0.0242,0.0103,0.0150,0.4220,0.6647,0.7717,0.4265,0.1218,346.0558,185.6238,419.2521,241.0114,1,382.2900,213.3200,72.7900,54.9300
2.2481,-48.3613,382.2917,213.5015,72.9396,55.0344,0.0579,0.0139,0.0017,0.0016,0.0018,0.0001,0.0006,0.0000,0.0001,0.0005,0.0135,0.0011,0.0003,0.0038,0.0011,0.0016,0.0098,0.0067,0.0196,0.3982,0.5506,0.7028,0.5497,0.0966,345.8219,185.9843,418.7616,241.0187,1,382.2900,213.3200,72.7900,54.9300
2.1379,-48.2660,382.3517,213.3660,73.0643,55.1001,0.1012,0.0318,0.0019,0.0093,0.0029,0.0001,0.0005,0.0000,0.0004,0.0012,0.0168,0.0005,0.0005,0.0117,0.0011,0.0017,0.0093,0.0096,0.0151,0.4227,0.5555,0.6324,0.4492,0.0987,345.8195,185.8159,418.8838,240.9160,1,382.2900,213.3200,72.7900,54.9300
1.8851,-52.6389,382.4577,213.3631,72.7179,54.7940,0.0572,0.0095,0.0012,0.0017,0.0035,0.0000,0.0010,0.0000,0.0001,0.0016,0.0056,0.0020,0.0005,0.0034,0.0008,0.0026,0.0238,0.0150,0.0138,0.3931,0.5471,0.6512,0.2750,0.0307,346.0988,185.9661,418.8167,240.7601,1,382.2900,213.3200,72.7900,54.9300
1.5360,-44.4959,381.6917,213.3631,71.6585,54.5726,0.1203,0.0597,0.0038,0.0063,0.0069,0.0001,0.0005,0.0000,0.0008,0.0041,0.0066,0.0015,0.0003,0.0082,0.0011,0.0011,0.0139,0.0104,0.0101,0.2224,0.4294,0.4816,0.2339,0.1253,345.8625,186.0768,417.5210,240.6494,1,382.2900,213.3200,72.7900,54.9300
0.8866,-54.4069,381.6630,212.9599,72.7720,54.4023,0.0227,0.0066,0.0008,0.0028,0.0007,0.0001,0.0011,0.0000,0.0009,0.0009,0.0063,0.0008,0.0004,0.0041,0.0004,0.0005,0.0042,0.0034,0.0051,0.2590,0.2252,0.3194,0.0816,0.0239,345.2770,185.7588,418.0490,240.1610,1,382.2900,213.3200,72.7900,54.9300
0.6155,-55.7588,382.9608,213.8771,71.8532,53.9334,0.0132,0.0069,0.0009,0.0019,0.0016,0.0000,0.0003,0.0000,0.0002,0.0013,0.0029,0.0004,0.0004,0.0029,0.0006,0.0007,0.0152,0.0072,0.0053,0.1765,0.1400,0.2341,0.0623,0.0061,347.0342,186.9104,418.8874,240.8438,1,382.2900,213.3200,72.7900,54.9300
0.4158,-56.3893,382.1573,212.6796,71.8726,54.9291,0.0131,0.0044,0.0008,0.0032,0.0011,0.0001,0.0011,0.0000,0.0003,0.0016,0.0041,0.0003,0.0004,0.0044,0.0012,0.0014,0.0049,0.0035,0.0049,0.1233,0.1391,0.1057,0.0496,0.0054,346.2211,185.2151,418.0936,240.1442,1,382.2900,213.3200,72.7900,54.9300
0.0118,-42.6908,380.7142,212.8250,76.1133,53.8882,0.0019,0.0007,0.0002,0.0003,0.0003,0.0002,0.0002,0.0001,0.0001,0.0004,0.0006,0.0003,0.0002,0.0003,0.0002,0.0002,0.0007,0.0007,0.0005,0.0014,0.0027,0.0025,0.0039,0.0014,342.6575,185.8809,418.7708,239.7691,1,382.2900,213.3200,72.7900,54.9300
0.0064,-39.4541,379.8365,212.7035,74.8099,53.2612,0.0014,0.0006,0.0003,0.0004,0.0004,0.0002,0.0002,0.0001,0.0005,0.0003,0.0007,0.0002,0.0002,0.0003,0.0004,0.0002,0.0007,0.0004,0.0004,0.0010,0.0016,0.0017,0.0017,0.0012,342.4315,186.0729,417.2415,239.3341,1,382.2900,213.3200,72.7900,54.9300
3.1067,-53.6562,406.4635,489.4446,105.8000,106.5135,0.0643,0.0126,0.0015,0.0059,0.0038,0.0000,0.0034,0.0000,0.0003,0.0012,0.0270,0.0004,0.0005,0.0079,0.0010,0.0027,0.0278,0.0123,0.0469,0.8477,0.7982,0.8814,0.5934,0.0563,353.5635,436.1879,459.3635,542.7014,2,407.0300,489.6100,105.1600,105.3100
2.8398,-55.0171,407.0869,490.1842,105.8225,105.1793,0.0497,0.0114,0.0020,0.0080,0.0034,0.0000,0.0030,0.0000,0.0003,0.0010,0.0123,0.0004,0.0004,0.0063,0.0015,0.0030,0.0215,0.0141,0.0378,0.7756,0.8329,0.8514,0.3799,0.0481,354.1756,437.5945,459.9982,542.7738,2,407.0300,489.6100,105.1600,105.3100
2.5003,-53.2521,406.9921,489.2099,106.0795,106.2062,0.0415,0.0117,0.0009,0.0043,0.0021,0.0001,0.0017,0.0000,0.0003,0.0012,0.0313,0.0006,0.0004,0.0047,0.0005,0.0014,0.0130,0.0074,0.0217,0.6647,0.6323,0.7909,0.4580,0.0390,353.9523,436.1068,460.0318,542.3130,2,407.0300,489.6100,105.1600,105.3100
2.4185,-55.7375,406.8011,489.3599,104.5666,104.5622,0.0445,0.0082,0.0017,0.0035,0.0022,0.0000,0.0018,0.0000,0.0001,0.0005,0.0139,0.0003,0.0005,0.0073,0.0007,0.0017,0.0159,0.0134,0.0473,0.7058,0.6555,0.7426,0.3086,0.0360,354.5178,437.0788,459.0844,541.6410,2,407.0300,489.6100,105.1600,105.3100
2.2926,-56.2956,407.6828,490.4490,103.1732,104.6677,0.0400,0.0082,0.0017,0.0043,0.0026,0.0000,0.0025,0.0000,0.0002,0.0009,0.0077,0.0003,0.0005,0.0056,0.0010,0.0021,0.0182,0.0163,0.0397,0.6401,0.6694,0.7561,0.2188,0.0240,356.0962,438.1152,459.2694,542.7828,2,407.0300,489.6100,105.1600,105.3100
1.5229,-56.2663,407.4713,489.5672,106.5386,106.3593,0.0175,0.0052,0.0005,0.0038,0.0018,0.0001,0.0024,0.0000,0.0004,0.0007,0.0200,0.0003,0.0004,0.0035,0.0005,0.0009,0.0050,0.0063,0.0128,0.4639,0.4379,0.4901,0.1635,0.0200,354.2020,436.3875,460.7406,542.7468,2,407.0300,489.6100,105.1600,105.3100
1.2171,-54.2624,405.8442,489.0815,105.6595,105.1527,0.0172,0.0058,0.0005,0.0033,0.0022,0.0001,0.0015,0.0000,0.0002,0.0013,0.0086,0.0003,0.0003,0.0037,0.0004,0.0010,0.0165,0.0046,0.0108,0.2834,0.2888,0.5650,0.0827,0.0190,353.0145,436.5051,458.6740,541.6579,2,407.0300,489.6100,105.1600,105.3100
0.8926,-52.9434,406.8647,488.7417,106.2951,104.8784,0.0122,0.0053,0.0006,0.0020,0.0019,0.0001,0.0008,0.0000,0.0002,0.0012,0.0079,0.0004,0.0002,0.0014,0.0004,0.0012,0.0136,0.0031,0.0067,0.1792,0.1977,0.4469,0.0735,0.0117,353.7171,436.3026,460.0123,541.1809,2,407.0300,489.6100,105.1600,105.3100
0.5325,-55.6907,408.0958,490.1669,104.4565,106.5522,0.0116,0.0025,0.0005,0.0027,0.0014,0.0001,0.0020,0.0001,0.0002,0.0006,0.0038,0.0001,0.0003,0.0021,0.0007,0.0010,0.0054,0.0059,0.0095,0.1343,0.1427,0.2252,0.0251,0.0079,355.8676,436.8908,460.3241,543.4431,2,407.0300,489.6100,105.1600,105.3100
0.4596,-57.5486,407.9822,489.8043,101.4649,100.6981,0.0073,0.0023,0.0004,0.0011,0.0014,0.0001,0.0008,0.0000,0.0001,0.0007,0.0034,0.0003,0.0003,0.0017,0.0003,0.0008,0.0049,0.0055,0.0052,0.1366,0.1316,0.1662,0.0268,0.0042,357.2498,439.4552,458.7147,540.1533,2,407.0300,489.6100,105.1600,105.3100
0.3157,-57.4321,408.7988,490.1077,100.6060,103.1889,0.0054,0.0017,0.0005,0.0021,0.0013,0.0001,0.0012,0.0001,0.0002,0.0007,0.0018,0.0001,0.0002,0.0020,0.0006,0.0007,0.0035,0.0029,0.0054,0.0899,0.0978,0.1118,0.0163,0.0029,358.4958,438.5132,459.1018,541.7021,2,407.0300,489.6100,105.1600,105.3100
0.3004,-54.6901,406.3452,488.7636,105.0930,102.8759,0.0045,0.0029,0.0004,0.0019,0.0016,0.0001,0.0011,0.0000,0.0001,0.0006,0.0022,0.0001,0.0002,0.0018,0.0004,0.0003,0.0047,0.0032,0.0028,0.0574,0.1028,0.1213,0.0196,0.0032,353.7987,437.3257,458.8917,540.2016,2,407.0300,489.6100,105.1600,105.3100
