vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
3.1067,-53.6562,406.4635,489.4446,105.8000,106.5135,0.0643,0.0126,0.0015,0.0059,0.0038,0.0000,0.0034,0.0000,0.0003,0.0012,0.0270,0.0004,0.0005,0.0079,0.0010,0.0027,0.0278,0.0123,0.0469,0.8477,0.7982,0.8814,0.5934,0.0563
2.6144,-50.9147,539.3414,208.5452,77.6320,52.7096,0.0880,0.0278,0.0010,0.0023,0.0055,0.0001,0.0006,0.0000,0.0000,0.0032,0.0310,0.0008,0.0005,0.0110,0.0027,0.0088,0.0449,0.0193,0.0277,0.4467,0.7978,0.8610,0.3968,0.1431
3.1164,-47.8625,381.9853,213.1049,72.5804,54.5427,0.1674,0.0328,0.0016,0.0034,0.0036,0.0001,0.0011,0.0000,0.0002,0.0018,0.0259,0.0023,0.0002,0.0087,0.0012,0.0018,0.0161,0.0123,0.0211,0.6741,0.7335,0.8594,0.6953,0.1898
2.8398,-55.0171,407.0869,490.1842,105.8225,105.1793,0.0497,0.0114,0.0020,0.0080,0.0034,0.0000,0.0030,0.0000,0.0003,0.0010,0.0123,0.0004,0.0004,0.0063,0.0015,0.0030,0.0215,0.0141,0.0378,0.7756,0.8329,0.8514,0.3799,0.0481
2.8886,-52.3382,235.5299,214.7230,66.9888,58.7181,0.1100,0.0226,0.0019,0.0040,0.0042,0.0001,0.0012,0.0000,0.0002,0.0017,0.0176,0.0013,0.0003,0.0064,0.0015,0.0037,0.0341,0.0296,0.0492,0.7442,0.7166,0.8277,0.4818,0.1305
2.2815,-47.0519,570.5068,317.5374,99.8434,69.6024,0.0760,0.0193,0.0009,0.0029,0.0022,0.0001,0.0005,0.0000,0.0001,0.0016,0.0223,0.0008,0.0002,0.0056,0.0015,0.0015,0.0156,0.0041,0.0075,0.3271,0.5650,0.8051,0.5246,0.1068
2.8576,-49.3936,608.4659,492.4737,63.3541,107.6520,0.1479,0.0278,0.0035,0.0049,0.0024,0.0002,0.0002,0.0000,0.0002,0.0008,0.0126,0.0005,0.0003,0.0066,0.0010,0.0031,0.0116,0.0233,0.0876,0.6451,0.6288,0.7952,0.5903,0.1617
2.4224,-65.7553,184.4764,474.5917,83.5451,98.8893,0.0496,0.0115,0.0058,0.0049,0.0063,0.0001,0.0027,0.0000,0.0001,0.0014,0.0038,0.0004,0.0014,0.0088,0.0016,0.0102,0.0848,0.1255,0.2689,0.7952,0.6419,0.5359,0.0816,0.0457
2.5003,-53.2521,406.9921,489.2099,106.0795,106.2062,0.0415,0.0117,0.0009,0.0043,0.0021,0.0001,0.0017,0.0000,0.0003,0.0012,0.0313,0.0006,0.0004,0.0047,0.0005,0.0014,0.0130,0.0074,0.0217,0.6647,0.6323,0.7909,0.4580,0.0390
2.5117,-46.3229,570.2665,317.9951,99.6167,69.5129,0.0843,0.0222,0.0018,0.0034,0.0029,0.0001,0.0005,0.0000,0.0001,0.0013,0.0186,0.0008,0.0003,0.0091,0.0013,0.0016,0.0182,0.0080,0.0115,0.3584,0.6117,0.7870,0.6635,0.1387
2.2099,-48.8534,394.2231,326.0189,84.2561,68.6229,0.0496,0.0170,0.0005,0.0034,0.0039,0.0002,0.0008,0.0000,0.0001,0.0024,0.0425,0.0008,0.0002,0.0065,0.0012,0.0017,0.0102,0.0077,0.0086,0.3400,0.6063,0.7859,0.4833,0.0757
2.4962,-49.5414,539.4155,208.7772,77.7826,52.7489,0.0798,0.0189,0.0036,0.0039,0.0041,0.0001,0.0006,0.0000,0.0001,0.0009,0.0073,0.0008,0.0005,0.0075,0.0046,0.0054,0.0342,0.0120,0.0404,0.4516,0.6427,0.7731,0.5041,0.1407
2.3708,-49.2955,382.6540,213.3176,73.1963,55.3875,0.0847,0.0266,0.0013,0.0061,0.0034,0.0002,0.0005,0.0000,0.0002,0.0033,0.0179,0.0006,0.0003,0.0101,0.0009,0.0025,0.0242,0.0103,0.0150,0.4220,0.6647,0.7717,0.4265,0.1218
2.5311,-48.1616,570.3131,317.8896,100.6475,69.7812,0.0505,0.0180,0.0012,0.0056,0.0022,0.0001,0.0009,0.0000,0.0001,0.0009,0.0326,0.0007,0.0002,0.0090,0.0017,0.0023,0.0128,0.0057,0.0106,0.4334,0.6592,0.7629,0.6391,0.1338
2.7315,-53.7331,235.0737,214.7006,66.1385,58.8681,0.0915,0.0243,0.0019,0.0097,0.0024,0.0001,0.0009,0.0000,0.0004,0.0009,0.0175,0.0008,0.0007,0.0081,0.0009,0.0030,0.0142,0.0255,0.0569,0.7613,0.7395,0.7428,0.4168,0.0827
2.7286,-48.0734,382.5380,213.3508,73.2358,55.1208,0.0805,0.0175,0.0011,0.0025,0.0014,0.0002,0.0009,0.0000,0.0002,0.0008,0.0377,0.0013,0.0003,0.0063,0.0012,0.0017,0.0103,0.0075,0.0197,0.5414,0.6527,0.7591,0.7047,0.1646
2.5411,-54.2963,235.3375,214.4184,65.9442,58.8574,0.0577,0.0232,0.0024,0.0071,0.0049,0.0001,0.0012,0.0000,0.0002,0.0025,0.0105,0.0005,0.0005,0.0092,0.0006,0.0027,0.0355,0.0276,0.0463,0.6161,0.7523,0.7589,0.3653,0.0549
2.2926,-56.2956,407.6828,490.4490,103.1732,104.6677,0.0400,0.0082,0.0017,0.0043,0.0026,0.0000,0.0025,0.0000,0.0002,0.0009,0.0077,0.0003,0.0005,0.0056,0.0010,0.0021,0.0182,0.0163,0.0397,0.6401,0.6694,0.7561,0.2188,0.0240
1.9952,-49.7549,394.4991,326.1118,84.8846,68.2834,0.0503,0.0202,0.0008,0.0047,0.0040,0.0002,0.0006,0.0000,0.0002,0.0030,0.0219,0.0005,0.0003,0.0043,0.0011,0.0018,0.0236,0.0053,0.0088,0.3225,0.5472,0.7552,0.3559,0.0574
