group_id,number_of_anchors,vector_magnitude,x_center,y_center,width,height,angle,image_filename,avg_magnitude,best_anchor_angle,best_anchor_mag,sum_vx,sum_vy
2,22,15.34,569.02,328.25,101.05,60.62,-169.34,002.jpg,0.70,-168.79,2.21,-15.07,-2.84
3,18,14.09,389.13,321.32,94.60,61.04,-171.94,002.jpg,0.78,-170.28,2.18,-13.95,-1.98
7,18,13.90,215.25,344.95,97.66,64.57,-173.33,002.jpg,0.77,-173.69,1.93,-13.80,-1.61
8,21,12.66,183.93,506.07,113.83,82.18,-170.27,002.jpg,0.60,-167.95,1.91,-12.47,-2.14
5,25,12.15,407.55,498.46,123.35,82.72,-173.81,002.jpg,0.49,-174.61,1.96,-12.08,-1.31
1,24,11.91,531.60,211.09,87.88,51.38,-171.14,002.jpg,0.50,-171.04,2.43,-11.77,-1.83
6,18,11.85,224.42,220.81,79.93,49.60,-176.04,002.jpg,0.66,-175.33,1.96,-11.82,-0.82
9,19,9.74,611.56,493.01,56.81,95.68,-166.83,002.jpg,0.51,-164.18,1.60,-9.48,-2.22
4,24,8.93,381.71,215.92,80.71,49.45,-174.33,002.jpg,0.37,-175.40,2.09,-8.89,-0.88
12,7,0.05,240.82,624.26,50.06,30.95,-170.61,002.jpg,0.01,-151.67,0.02,-0.05,-0.01
11,3,0.04,144.53,492.50,34.60,30.36,-173.62,002.jpg,0.01,-169.34,0.02,-0.04,-0.00
10,1,0.02,156.29,498.99,58.26,52.97,-173.13,002.jpg,0.02,-173.13,0.02,-0.02,-0.00
