group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
1,0,2.5906,-17.3500,175.2900,295.4800,92.7800,60.1300,Leanbot_m15,0.8923,2.4727,-0.7726,17.3400
1,1,2.3794,-15.1200,175.5400,295.5100,93.1700,59.9700,Leanbot_m15,0.8730,2.2970,-0.6207,15.9300
1,2,2.0534,-15.7300,175.0300,295.6400,92.6000,59.8900,Leanbot_m15,0.8100,1.9765,-0.5567,13.7400
1,3,1.9657,-18.5600,175.1100,295.8300,91.8200,59.9600,Leanbot_m15,0.6922,1.8634,-0.6257,13.1600
1,4,1.8625,-15.1600,174.6100,295.5600,91.4600,59.8100,Leanbot_m15,0.5936,1.7977,-0.4870,12.4700
1,5,1.6139,-14.5700,175.5900,295.4800,92.8700,59.6300,Leanbot_m15,0.6436,1.5620,-0.4059,10.8000
1,6,0.6731,-15.1100,175.6200,295.3100,92.9500,59.3300,Leanbot_0,0.2412,0.6499,-0.1754,4.5100
1,7,0.6382,-14.4000,174.8600,295.1200,93.0000,60.3300,Leanbot_m15,0.2469,0.6182,-0.1587,4.2700
1,8,0.5436,-15.7000,175.7500,295.3300,92.7200,59.8500,Leanbot_m15,0.1861,0.5233,-0.1471,3.6400
1,9,0.2541,-24.8600,175.0000,295.7200,91.3500,59.1000,Leanbot_m30,0.0679,0.2305,-0.1068,1.7000
1,10,0.1956,-11.8400,174.7700,295.6700,91.1600,58.1600,Leanbot_0,0.0687,0.1914,-0.0401,1.3100
1,11,0.1032,-15.6900,176.1400,295.9600,92.5100,58.8900,Leanbot_m15,0.0321,0.0993,-0.0279,0.6900
1,12,0.0423,-24.4300,174.3600,294.9000,95.0700,59.1000,Leanbot_m15,0.0182,0.0385,-0.0175,0.2800
1,13,0.0131,-20.4200,172.7300,295.6100,87.0000,58.9200,Leanbot_0,0.0057,0.0122,-0.0046,0.0900
1,14,0.0098,-5.5300,172.6500,295.9700,87.1000,58.2800,Leanbot_0,0.0039,0.0097,-0.0009,0.0700
1,15,0.0072,-31.0200,178.1500,295.9200,88.0300,57.0500,Leanbot_m45,0.0027,0.0061,-0.0037,0.0500
1,16,0.0018,-38.0500,174.5200,293.6500,90.4100,55.2800,Leanbot_0,0.0012,0.0014,-0.0011,0.0100
