frame_id,timestamp,mode,input_width,input_height,roi_w,roi_h,inf_time_ms,end_to_end_time_ms,cpu_load_pct,end_to_end_cpu_load_pct,fps,x_center,y_center,width,height,vector_magnitude,angle,best_conf,tracking_lost
364,11:55:45.282,ROI,160,160,352,352,5.61,6.35,25.2,0.0,157.56,1025.55,296.28,172.97,116.53,2.7160,-2.5500,0.8745,0
365,11:55:45.329,ROI,160,160,352,352,5.00,5.69,0.0,0.0,175.74,1025.41,296.41,172.98,116.33,2.7309,-2.5722,0.8784,0
366,11:55:45.342,ROI,160,160,352,352,4.37,5.07,0.0,0.0,197.30,1025.41,296.41,172.98,116.33,2.7309,-2.5722,0.8784,0
367,11:55:45.394,ROI,160,160,352,352,4.85,5.55,0.0,0.0,180.03,1025.55,296.27,172.70,116.74,2.7252,-2.6700,0.8750,0
368,11:55:45.425,ROI,160,160,352,352,4.68,5.38,0.0,0.0,186.01,1025.41,296.27,172.98,116.74,2.6839,-2.7139,0.8657,0
369,11:55:45.458,ROI,160,160,352,352,4.79,5.54,0.0,0.0,180.66,1025.55,296.28,173.11,116.46,2.7165,-2.7541,0.8735,0
370,11:55:45.489,ROI,160,160,352,352,4.58,5.27,0.0,0.0,189.68,1026.10,297.10,173.53,116.81,2.6306,-6.0122,0.8618,0
371,11:55:45.524,ROI,160,160,352,352,4.77,5.50,0.0,71.025,181.81,1026.55,296.18,173.94,117.01,2.3409,-4.0367,0.8330,0
372,11:55:45.553,ROI,160,160,352,352,4.67,5.39,0.0,0.0,185.39,1026.82,296.83,173.80,116.26,2.5950,-6.1862,0.8569,0
373,11:55:45.585,ROI,160,160,352,352,4.78,5.53,14.575,0.0,180.82,1026.82,296.96,173.80,117.36,2.6066,-5.8292,0.8491,0
374,11:55:45.617,ROI,160,160,352,352,6.08,7.13,0.0,0.0,140.22,1027.10,296.96,173.80,116.05,2.5214,-5.3080,0.8354,0
375,11:55:45.665,ROI,160,160,352,352,4.65,5.37,0.0,0.0,186.31,1028.10,297.38,173.94,115.91,2.5233,-5.7245,0.8364,0
376,11:55:45.697,ROI,160,160,352,352,4.86,5.59,0.0,69.875,178.86,1028.14,297.41,171.87,116.39,2.3999,-6.5485,0.8101,0
377,11:55:45.710,ROI,160,160,352,352,5.10,5.80,0.0,67.325,172.33,1028.14,297.41,171.87,116.39,2.3999,-6.5485,0.8101,0
378,11:55:45.729,ROI,160,160,352,352,4.74,5.44,0.0,71.8,183.74,1029.79,297.00,172.42,115.64,2.5064,-2.8576,0.8198,0
379,11:55:45.793,ROI,160,160,352,352,4.62,5.34,0.0,0.0,187.37,1029.96,297.14,171.88,116.32,2.4605,-2.7038,0.8159,0
380,11:55:45.825,ROI,160,160,352,352,4.97,5.68,14.5,0.0,175.98,1030.93,297.55,172.01,115.09,2.4725,-2.3954,0.8125,0
381,11:55:45.857,ROI,160,160,352,352,4.75,5.47,15.075,0.0,182.96,1031.93,297.69,171.60,115.71,2.3306,-2.6468,0.7603,0
382,11:55:45.889,ROI,160,160,352,352,4.65,5.35,0.0,0.0,186.91,1032.65,297.55,170.50,113.99,2.4526,-2.5140,0.7998,0
383,11:55:45.922,ROI,160,160,352,352,4.52,5.29,0.0,0.0,189.07,1035.85,297.41,169.95,113.09,2.4268,-3.0875,0.8813,0
384,11:55:45.953,ROI,160,160,352,352,4.71,5.41,0.0,0.0,184.93,1036.24,298.38,170.22,112.89,2.6009,-2.5728,0.8521,0
385,11:55:45.984,ROI,160,160,352,352,4.86,5.86,0.0,0.0,170.72,1036.69,296.90,172.70,116.19,2.3292,-1.8831,0.7734,0
386,11:55:46.034,ROI,160,160,352,352,5.26,5.96,9.0,0.0,167.91,1040.26,297.65,171.87,116.05,2.0577,-2.8119,0.8076,0
387,11:55:46.047,ROI,160,160,352,352,6.83,7.55,0.0,0.0,132.53,1040.00,298.10,171.88,115.09,2.6444,-2.8524,0.8398,0
388,11:55:46.066,ROI,160,160,352,352,5.39,6.40,0.0,0.0,156.16,1039.86,297.17,174.08,115.91,2.1894,-1.3416,0.7319,0
389,11:55:46.097,ROI,160,160,352,352,5.08,5.82,0.0,0.0,171.81,1042.03,298.38,174.49,113.85,2.8151,-2.3756,0.8896,0
390,11:55:46.129,ROI,160,160,352,352,4.76,5.48,0.0,0.0,182.32,1044.06,297.73,174.62,114.47,2.7400,-3.0756,0.8354,0
391,11:55:46.191,ROI,160,160,352,352,4.67,5.37,0.0,0.0,186.28,1048.12,298.38,170.50,113.99,2.7399,-3.3780,0.8408,0
392,11:55:46.224,ROI,160,160,352,352,4.72,5.41,0.0,0.0,184.71,1051.16,298.41,173.53,116.88,2.7738,-2.7363,0.8643,0
393,11:55:46.260,ROI,160,160,352,352,5.27,6.10,13.025,0.0,163.89,1053.75,299.51,171.05,117.36,2.6549,-3.1938,0.8291,0
394,11:55:46.289,ROI,160,160,352,352,4.85,5.76,0.0,0.0,173.50,1055.47,299.55,169.95,117.01,2.5385,-3.0443,0.7964,0
395,11:55:46.321,ROI,160,160,352,352,5.12,5.82,0.0,0.0,171.85,1056.65,299.83,168.44,116.19,2.4665,-3.2148,0.7764,0
396,11:55:46.353,ROI,160,160,352,352,4.92,5.62,0.0,0.0,178.07,1059.03,299.28,169.95,117.15,2.4662,-3.4729,0.7769,0
397,11:55:46.385,ROI,160,160,352,352,5.24,6.34,0.0,61.725,157.85,1059.00,299.41,167.89,116.33,2.5571,-3.3690,0.7954,0
398,11:55:46.434,ROI,160,160,352,352,5.40,6.48,0.0,0.0,154.28,1061.20,299.27,169.40,116.74,2.4875,-3.7260,0.7812,0
399,11:55:46.449,ROI,160,160,352,352,5.72,6.42,0.0,0.0,155.77,1061.96,300.10,169.12,116.53,2.5531,-3.5484,0.7964,0
400,11:55:46.465,ROI,160,160,352,352,4.97,5.70,0.0,0.0,175.57,1063.20,300.55,171.19,116.74,2.5042,-3.6723,0.7949,0
401,11:55:46.497,ROI,160,160,352,352,4.83,5.54,0.0,0.0,180.48,1066.71,300.55,172.43,114.81,2.4552,-3.5973,0.7920,0
