frame_id,timestamp,mode,input_width,input_height,roi_w,roi_h,inf_time_ms,end_to_end_time_ms,cpu_load_pct,end_to_end_cpu_load_pct,fps,x_center,y_center,width,height,vector_magnitude,angle,best_conf,tracking_lost
896,12:09:14.455,ROI,160,160,352,352,5.54,6.33,0.0,0.0,157.92,1023.83,299.41,174.21,116.81,2.5257,-6.3525,0.8291,0
897,12:09:14.488,ROI,160,160,352,352,4.91,5.69,0.0,0.0,175.65,1024.10,299.83,174.35,117.08,2.5531,-6.4087,0.8354,0
898,12:09:14.502,ROI,160,160,352,352,4.55,5.33,0.0,0.0,187.56,1023.59,299.28,172.70,115.91,2.6023,-6.0964,0.8491,0
899,12:09:14.519,ROI,160,160,352,352,4.53,5.31,0.0,0.0,188.27,1024.10,299.55,174.35,116.46,2.5666,-6.2967,0.8364,0
900,12:09:14.564,ROI,160,160,352,352,6.12,7.30,0.0,0.0,137.06,1023.31,299.14,172.43,115.43,2.5789,-6.0296,0.8447,0
901,12:09:14.583,ROI,160,160,352,352,4.86,5.66,0.0,0.0,176.74,1023.96,299.55,174.08,116.39,2.5249,-6.3076,0.8286,0
902,12:09:14.616,ROI,160,160,352,352,5.15,5.94,0.0,0.0,168.33,1023.83,299.55,174.21,116.46,2.5502,-6.4722,0.8340,0
903,12:09:14.647,ROI,160,160,352,352,4.88,5.88,15.575,0.0,170.04,1023.96,299.69,174.62,116.39,2.5672,-6.3389,0.8398,0
904,12:09:14.679,ROI,160,160,352,352,4.59,5.58,0.0,0.0,179.35,1023.83,299.69,174.35,116.39,2.5687,-6.3324,0.8408,0
905,12:09:14.711,ROI,160,160,352,352,4.74,5.53,0.0,0.0,180.98,1024.10,299.83,174.35,116.74,2.5812,-6.2677,0.8413,0
906,12:09:14.744,ROI,160,160,352,352,4.59,5.56,0.0,0.0,179.77,1023.72,299.41,173.25,115.57,2.6183,-6.1076,0.8550,0
907,12:09:14.819,ROI,160,160,352,352,4.44,5.22,0.0,0.0,191.43,1023.83,299.55,174.35,116.81,2.5573,-6.3960,0.8354,0
908,12:09:14.857,ROI,160,160,352,352,5.56,6.34,0.0,0.0,157.65,1023.96,299.55,174.62,116.81,2.5540,-6.4059,0.8354,0
909,12:09:14.871,ROI,160,160,352,352,5.04,5.84,0.0,0.0,171.38,1023.96,299.55,174.62,116.81,2.5540,-6.4059,0.8354,0
910,12:09:14.887,ROI,160,160,352,352,4.74,5.55,0.0,0.0,180.15,1023.96,299.69,174.62,116.94,2.5529,-6.3513,0.8320,0
911,12:09:14.919,ROI,160,160,352,352,4.47,5.42,0.0,0.0,184.54,1024.24,299.83,174.63,116.74,2.5687,-6.4935,0.8408,0
912,12:09:14.952,ROI,160,160,352,352,4.56,5.33,0.0,0.0,187.50,1023.72,299.27,173.25,115.64,2.6645,-6.1068,0.8633,0
913,12:09:14.983,ROI,160,160,352,352,4.60,5.39,0.0,0.0,185.42,1024.10,299.69,174.35,116.88,2.5738,-6.6108,0.8423,0
914,12:09:15.016,ROI,160,160,352,352,5.67,6.75,0.0,0.0,148.09,1023.45,299.28,173.11,115.84,2.6311,-5.9910,0.8555,0
915,12:09:15.047,ROI,160,160,352,352,5.06,6.15,0.0,0.0,162.61,1024.10,299.83,174.76,116.94,2.5488,-6.5423,0.8364,0
916,12:09:15.083,ROI,160,160,352,352,4.52,5.34,0.0,0.0,187.32,1023.45,299.14,172.84,115.71,2.6324,-5.9943,0.8574,0
917,12:09:15.111,ROI,160,160,352,352,4.50,5.29,0.0,0.0,189.16,1024.10,299.69,174.90,116.81,2.6084,-6.6482,0.8472,0
918,12:09:15.144,ROI,160,160,352,352,4.60,5.41,0.0,0.0,184.91,1023.17,299.27,172.84,115.71,2.6281,-5.7966,0.8550,0
919,12:09:15.207,ROI,160,160,352,352,5.21,5.98,0.0,0.0,167.29,1023.96,299.69,174.62,116.81,2.5745,-6.4590,0.8389,0
920,12:09:15.220,ROI,160,160,352,352,4.88,5.70,0.0,0.0,175.34,1023.96,299.69,174.62,116.81,2.5745,-6.4590,0.8389,0
921,12:09:15.255,ROI,160,160,352,352,4.90,5.69,0.0,0.0,175.80,1023.96,299.69,174.62,116.81,2.5360,-6.5120,0.8296,0
922,12:09:15.286,ROI,160,160,352,352,4.63,5.42,15.1,0.0,184.34,1024.24,299.83,174.90,116.88,2.5778,-6.5417,0.8408,0
923,12:09:15.331,ROI,160,160,352,352,4.88,5.83,0.0,0.0,171.50,1023.59,299.28,172.97,115.50,2.6059,-6.1416,0.8506,0
924,12:09:15.352,ROI,160,160,352,352,4.46,5.26,0.0,74.3,190.18,1024.10,299.83,174.90,116.94,2.5246,-6.6571,0.8311,0
925,12:09:15.385,ROI,160,160,352,352,4.51,5.55,0.0,0.0,180.19,1023.45,299.28,173.25,115.77,2.5852,-5.9103,0.8442,0
926,12:09:15.416,ROI,160,160,352,352,4.69,5.97,0.0,0.0,167.48,1024.10,299.69,174.90,117.36,2.5272,-6.5075,0.8286,0
927,12:09:15.447,ROI,160,160,352,352,4.60,5.39,0.0,0.0,185.44,1023.31,299.27,173.25,115.64,2.5997,-6.0170,0.8477,0
928,12:09:15.481,ROI,160,160,352,352,4.57,5.43,0.0,0.0,184.27,1024.10,299.69,174.76,117.22,2.5485,-6.4969,0.8354,0
929,12:09:15.528,ROI,160,160,352,352,4.48,5.26,0.0,0.0,190.05,1023.45,299.27,173.25,115.71,2.5894,-6.1653,0.8462,0
930,12:09:15.560,ROI,160,160,352,352,5.69,6.83,0.0,0.0,146.49,1023.83,299.83,174.76,117.08,2.5601,-6.4201,0.8374,0
931,12:09:15.592,ROI,160,160,352,352,7.12,8.01,0.0,0.0,124.90,1023.96,299.69,174.90,117.15,2.6065,-6.3753,0.8457,0
932,12:09:15.623,ROI,160,160,352,352,5.55,6.40,0.0,0.0,156.34,1023.96,299.69,174.90,117.15,2.6065,-6.3753,0.8457,0
933,12:09:15.656,ROI,160,160,352,352,6.26,7.36,0.0,0.0,135.85,1023.83,299.83,174.35,117.01,2.5463,-6.2690,0.8345,0
934,12:09:15.689,ROI,160,160,352,352,6.28,7.40,0.0,0.0,135.06,1024.10,299.96,174.62,117.36,2.5519,-6.3897,0.8320,0
935,12:09:15.720,ROI,160,160,352,352,5.12,6.23,0.0,0.0,160.55,1023.72,299.55,173.11,116.05,2.5997,-6.0921,0.8472,0
936,12:09:15.751,ROI,160,160,352,352,5.65,6.64,0.0,0.0,150.64,1024.24,299.96,174.63,116.94,2.5997,-6.3765,0.8447,0
937,12:09:15.783,ROI,160,160,352,352,5.48,6.35,0.0,0.0,157.38,1023.59,299.28,172.97,115.77,2.5861,-6.1143,0.8442,0
938,12:09:15.815,ROI,160,160,352,352,6.18,7.34,0.0,0.0,136.32,1024.10,299.83,174.35,116.74,2.5582,-6.4572,0.8354,0
939,12:09:15.858,ROI,160,160,352,352,6.73,8.09,0.0,0.0,123.66,1023.45,299.27,172.97,115.29,2.6013,-5.9086,0.8472,0
940,12:09:15.895,ROI,160,160,352,352,5.13,5.97,0.0,0.0,167.43,1024.10,300.10,174.90,117.01,2.5682,-6.4480,0.8389,0
941,12:09:15.926,ROI,160,160,352,352,4.88,5.73,0.0,0.0,174.60,1023.59,299.31,173.25,114.68,2.4823,-6.1215,0.8286,0
942,12:09:15.959,ROI,160,160,352,352,4.83,5.99,0.0,0.0,167.00,1023.83,299.69,174.90,117.36,2.5972,-6.3204,0.8433,0
943,12:09:15.992,ROI,160,160,352,352,4.70,5.63,14.5,0.0,177.67,1023.96,299.83,174.62,117.36,2.5688,-6.4614,0.8398,0
944,12:09:16.024,ROI,160,160,352,352,5.32,6.43,0.0,60.85,155.62,1023.96,299.83,174.62,117.36,2.5688,-6.4614,0.8398,0
945,12:09:16.056,ROI,160,160,352,352,5.02,5.83,0.0,66.975,171.41,1024.10,299.83,174.49,117.36,2.5829,-6.4794,0.8398,0
946,12:09:16.088,ROI,160,160,352,352,5.78,6.68,0.0,0.0,149.59,1023.59,299.55,172.43,116.19,2.6362,-6.1664,0.8560,0
947,12:09:16.119,ROI,160,160,352,352,4.66,5.48,0.0,0.0,182.35,1023.82,299.96,173.94,116.94,2.5535,-6.3655,0.8364,0
948,12:09:16.151,ROI,160,160,352,352,4.84,5.63,0.0,0.0,177.58,1023.96,299.83,174.08,117.08,2.5729,-6.3791,0.8394,0
949,12:09:16.183,ROI,160,160,352,352,4.64,5.42,0.0,72.025,184.34,1023.69,299.55,174.35,117.08,2.5562,-6.2844,0.8359,0
950,12:09:16.215,ROI,160,160,352,352,4.68,5.48,0.0,0.0,182.63,1023.69,299.55,174.35,117.08,2.5562,-6.2844,0.8359,0
951,12:09:16.246,ROI,160,160,352,352,4.70,5.52,0.0,0.0,181.16,1024.10,299.83,174.49,117.15,2.5352,-6.5072,0.8306,0
952,12:09:16.296,ROI,160,160,352,352,4.60,5.41,0.0,0.0,184.79,1023.86,299.69,172.97,116.39,2.4860,-5.9900,0.8213,0
953,12:09:16.327,ROI,160,160,352,352,4.62,5.52,0.0,0.0,181.05,1025.06,300.38,176.27,117.29,2.6137,-6.3337,0.8481,0
954,12:09:16.363,ROI,160,160,384,384,4.58,5.39,0.0,0.0,185.56,1024.25,298.80,177.00,116.93,2.4133,-6.4512,0.8374,0
955,12:09:16.390,ROI,160,160,384,384,5.89,6.75,0.0,0.0,148.21,1021.90,299.50,171.60,112.65,2.1795,-2.4071,0.8320,0
956,12:09:16.422,ROI,160,160,352,352,4.70,5.51,0.0,0.0,181.63,1024.85,299.28,177.10,116.53,2.4790,-6.0956,0.8062,0
957,12:09:16.455,ROI,160,160,384,384,5.33,6.12,0.0,0.0,163.32,1024.30,298.10,177.60,116.17,2.3655,-5.6572,0.8179,0
958,12:09:16.487,ROI,160,160,384,384,4.83,5.77,0.0,0.0,173.28,1023.70,299.50,171.90,113.85,1.9013,-4.2711,0.7754,0
959,12:09:16.519,ROI,160,160,352,352,4.59,5.41,0.0,0.0,185.00,1026.85,300.10,176.55,116.46,2.5799,-5.9869,0.8296,0
960,12:09:16.551,ROI,160,160,384,384,4.52,5.33,0.0,0.0,187.72,1028.10,298.80,174.60,117.45,2.3023,-6.0674,0.8008,0
961,12:09:16.584,ROI,160,160,352,352,4.58,5.36,0.0,0.0,186.65,1029.10,300.20,172.70,115.91,2.3365,-3.3753,0.7705,0
962,12:09:16.624,ROI,160,160,352,352,4.92,5.74,11.25,0.0,174.23,1029.96,300.00,173.25,115.50,1.9883,-3.2840,0.7598,0
963,12:09:16.663,ROI,160,160,352,352,4.80,5.58,0.0,0.0,179.27,1030.79,300.83,173.53,115.36,2.3407,-2.6986,0.7632,0
964,12:09:16.695,ROI,160,160,352,352,4.66,5.46,0.0,71.575,183.14,1031.38,300.00,171.46,115.09,2.3951,-2.5525,0.7715,0
965,12:09:16.728,ROI,160,160,352,352,4.77,5.73,0.0,0.0,174.66,1033.48,299.45,172.15,114.54,2.5627,-3.1059,0.8101,0
