epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5918,1.93347,12.1692,1.5557,0,0,0,0,1.13291,11.4308,1.04847,1.428e-05,1.428e-05,1.428e-05
2,27.2972,1.74994,12.178,1.45338,0,0,0,0,1.04593,11.3421,0.97521,3.19179e-05,3.19179e-05,3.19179e-05
3,28.9576,1.31809,11.4617,1.19589,0,0,0,0,1.15185,11.1044,0.9571,4.93203e-05,4.93203e-05,4.93203e-05
4,30.5783,1.17692,11.2648,1.05159,0,0,0,0,1.17204,10.7963,0.92329,6.6487e-05,6.6487e-05,6.6487e-05
5,33.3543,1.12665,11.0748,1.00129,0,0,0,0,1.03361,10.4979,0.86985,8.3418e-05,8.3418e-05,8.3418e-05
6,35.1727,1.12093,10.7452,0.98805,0,0,0,0,1.06799,10.5231,0.87197,0.000100114,0.000100114,0.000100114
7,36.779,1.06488,10.433,0.97293,0,0,0,0,1.2373,10.6765,0.91774,0.000116573,0.000116573,0.000116573
8,39.1452,1.00308,10.3628,0.94354,0,0,0,0,1.07654,10.4445,0.87479,0.000132798,0.000132798,0.000132798
9,40.8053,0.99393,10.3034,0.93256,0.02228,0.10185,0.02575,0.0199,0.89888,10.2586,0.84205,0.000148786,0.000148786,0.000148786
10,42.3974,0.96979,9.9985,0.94583,0.02699,0.18981,0.04174,0.0277,1.15675,10.3594,0.90078,0.000164539,0.000164539,0.000164539
11,44.1176,0.96848,9.83704,0.92863,0.04737,0.25926,0.06435,0.0435,1.23401,10.3289,0.91401,0.000180057,0.000180057,0.000180057
12,46.6216,0.99945,9.79835,0.9489,0.08989,0.39352,0.09533,0.07547,0.90328,10.0442,0.84083,0.000195338,0.000195338,0.000195338
13,48.3715,0.99134,9.69536,0.94536,0.09573,0.48148,0.11422,0.08955,0.92304,10.0027,0.84371,0.000210384,0.000210384,0.000210384
14,50.1108,0.91647,9.50542,0.91578,0.06174,0.60185,0.12659,0.09043,1.15525,9.9823,0.89285,0.000225195,0.000225195,0.000225195
15,51.7356,1.00288,9.27109,0.96878,0.07791,0.76389,0.16469,0.11198,1.22386,9.84886,0.91812,0.00023977,0.00023977,0.00023977
16,53.3021,0.99632,9.14093,0.96074,0.07287,0.85185,0.20047,0.14035,1.0853,9.62106,0.89651,0.000254109,0.000254109,0.000254109
17,54.931,0.95838,8.93508,0.95617,0.06479,0.93981,0.26949,0.18784,1.1396,9.35781,0.93734,0.000268213,0.000268213,0.000268213
