vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
3.19,12.55,343.10,231.65,43.54,26.43,0.88,0.98,0.89,0.15,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.04,0.40
2.90,15.83,269.25,230.61,44.15,27.67,0.74,0.97,0.87,0.20,0.03,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.21
2.81,13.19,343.04,231.82,43.98,26.39,0.85,0.97,0.79,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.18
2.85,14.57,269.58,230.63,44.57,27.54,0.81,0.97,0.82,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.18
2.76,13.67,423.36,227.48,42.79,28.59,0.83,0.97,0.77,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.19
3.01,16.57,349.50,284.43,51.32,32.53,0.82,0.97,0.90,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.16
2.82,14.60,441.10,281.65,53.37,33.17,0.85,0.96,0.82,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.16
2.77,15.65,248.14,353.54,57.97,39.37,0.87,0.96,0.78,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08
2.69,15.95,351.80,357.17,59.05,38.86,0.76,0.96,0.75,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
2.67,11.89,462.96,356.70,60.09,41.45,0.78,0.95,0.56,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.31
2.63,14.35,352.14,357.30,59.40,38.73,0.87,0.95,0.67,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.09
2.68,15.27,260.49,284.04,49.78,31.57,0.83,0.95,0.75,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07
2.75,15.10,260.36,284.03,49.32,31.66,0.84,0.95,0.78,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.12
2.79,16.07,352.00,357.36,59.35,39.02,0.80,0.95,0.71,0.25,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17
2.60,15.46,441.12,281.71,53.49,33.22,0.78,0.94,0.72,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07
2.67,15.45,349.11,284.44,50.81,32.49,0.80,0.94,0.79,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.10
2.71,17.10,342.81,231.76,43.94,26.56,0.63,0.93,0.82,0.22,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.16
2.84,13.41,441.04,281.53,53.66,32.98,0.79,0.93,0.79,0.13,0.02,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.29
2.68,12.80,462.92,356.64,60.57,41.55,0.76,0.93,0.57,0.14,0.06,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.33
2.30,11.47,462.94,356.75,60.89,41.18,0.74,0.92,0.47,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.18
2.50,11.68,463.27,356.56,59.50,41.04,0.81,0.92,0.50,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.22
2.69,18.44,248.23,353.82,58.47,38.62,0.66,0.92,0.78,0.32,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
2.43,14.85,349.31,284.26,51.08,32.07,0.76,0.92,0.66,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06
2.71,14.11,343.12,231.76,43.67,26.62,0.76,0.92,0.79,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.20
2.89,15.83,423.06,227.47,43.79,28.95,0.77,0.92,0.78,0.29,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.23
2.88,11.63,269.47,230.46,44.42,27.52,0.81,0.92,0.76,0.10,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.34
2.62,17.25,260.49,283.98,49.69,31.55,0.66,0.92,0.80,0.21,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
3.02,11.29,342.94,231.59,43.88,26.21,0.85,0.91,0.76,0.13,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.08,0.42
2.75,16.34,351.85,357.40,58.82,38.39,0.81,0.90,0.72,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.12
2.48,17.87,269.41,230.74,44.20,27.92,0.56,0.90,0.78,0.18,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.11
