vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
3.46,10.64,269.53,230.94,43.20,26.69,0.93,0.98,0.85,0.24,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.15,0.51
3.09,14.90,260.24,284.08,48.58,30.31,0.86,0.97,0.86,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.22
2.97,13.73,260.07,283.94,48.43,30.61,0.88,0.97,0.81,0.20,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.02,0.23
3.11,11.15,343.19,231.63,43.35,25.69,0.90,0.97,0.74,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.10,0.37
2.90,12.57,423.92,227.73,43.06,27.54,0.88,0.97,0.71,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.27
2.88,12.37,463.26,356.73,59.78,38.58,0.85,0.97,0.66,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.30
2.86,14.86,351.84,357.58,58.33,37.22,0.82,0.97,0.74,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.20
3.21,9.81,343.05,231.87,43.53,25.93,0.88,0.97,0.80,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.15,0.45
2.90,14.16,351.98,357.68,58.34,37.58,0.90,0.96,0.76,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.19
2.96,13.04,440.71,281.71,51.72,31.74,0.91,0.96,0.75,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.25
3.00,15.61,351.80,357.69,58.14,37.42,0.85,0.96,0.74,0.29,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.23
3.19,12.30,348.91,284.70,49.68,31.27,0.86,0.96,0.82,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.05,0.43
2.78,13.14,348.97,284.54,49.84,30.85,0.84,0.96,0.69,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.20
3.03,12.96,343.36,231.82,43.32,25.99,0.85,0.96,0.82,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.07,0.28
2.92,13.39,269.38,230.67,43.16,26.89,0.75,0.95,0.76,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.05,0.33
2.97,14.68,269.62,231.02,42.79,26.86,0.75,0.95,0.81,0.25,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.05,0.29
2.87,9.66,462.84,356.80,59.89,38.61,0.83,0.95,0.56,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.47
2.83,13.11,348.99,284.61,50.23,31.38,0.85,0.95,0.77,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.23
2.73,15.50,248.21,354.17,57.48,37.44,0.83,0.95,0.73,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.10
2.76,14.11,440.33,281.60,51.23,31.89,0.78,0.95,0.70,0.20,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.21
3.05,15.18,351.88,357.63,58.09,37.01,0.83,0.95,0.73,0.37,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.27
3.01,15.05,260.23,284.25,48.47,30.17,0.81,0.94,0.80,0.27,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.26
2.80,12.87,462.71,356.90,60.58,38.71,0.77,0.94,0.61,0.18,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.37
3.27,8.78,269.37,230.47,43.01,26.94,0.90,0.94,0.68,0.18,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.19,0.56
2.59,10.45,462.76,356.89,61.04,38.56,0.82,0.93,0.57,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.02,0.29
2.63,17.72,248.72,354.16,58.91,37.28,0.68,0.93,0.73,0.29,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09
