epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.86493,1.86528,12.2018,1.5326,0,0,0,0,1.59916,11.507,1.32012,0.000102,0.000102,0.000102
2,6.72114,1.5026,11.6014,1.30239,0,0,0,0,1.29785,10.8432,1.03232,0.000219541,0.000219541,0.000219541
3,9.73066,1.25982,10.8211,1.09652,0.00342,0.01157,0.00268,0.00205,1.12717,10.3177,0.91051,0.000335512,0.000335512,0.000335512
4,11.925,1.20993,10.1273,1.01447,0.04996,0.52778,0.05672,0.02969,1.31145,10.2317,0.97921,0.000349931,0.000349931,0.000349931
5,14.5726,1.16281,9.47517,1.02759,0.03855,0.75231,0.06748,0.0351,1.44031,10.0841,1.06639,0.000347575,0.000347575,0.000347575
6,17.6443,1.14484,9.031,1.03332,0.06109,0.86343,0.07455,0.05086,1.10525,9.32132,0.95036,0.000345219,0.000345219,0.000345219
7,19.7631,1.16423,8.88447,1.07705,0.0423,0.87037,0.06862,0.04449,1.29271,9.08055,1.03179,0.000342863,0.000342863,0.000342863
8,21.9665,1.07184,8.32,1.02233,0.04195,0.92824,0.09042,0.06133,1.21448,8.80092,1.03525,0.000340507,0.000340507,0.000340507
9,24.3537,1.08356,8.01837,1.04604,0.04124,0.9537,0.09973,0.06581,1.25586,8.75571,1.06167,0.00033815,0.00033815,0.00033815
10,26.4976,1.06664,7.59891,1.05641,0.04097,0.96759,0.12141,0.07167,1.40968,8.75974,1.13333,0.000335794,0.000335794,0.000335794
11,29.5277,1.1023,7.51472,1.03165,0.04008,0.96065,0.14707,0.09638,1.29831,8.42801,1.09983,0.000333438,0.000333438,0.000333438
12,32.878,1.05164,7.12542,1.03157,0.23284,0.23687,0.17186,0.12604,1.02876,7.91156,1.01253,0.000331082,0.000331082,0.000331082
13,35.4932,0.99786,6.77845,1.04632,0.33372,0.22308,0.18871,0.13942,1.0106,7.67573,1.02419,0.000328726,0.000328726,0.000328726
14,37.5552,1.0413,6.38034,1.05555,0.21673,0.33355,0.23385,0.16532,1.06438,7.08439,1.07617,0.000326369,0.000326369,0.000326369
15,39.732,1.0068,6.07667,1.0335,0.18628,0.42268,0.24976,0.19078,0.94551,6.62108,1.05013,0.000324013,0.000324013,0.000324013
16,42.2989,0.99711,5.93964,1.03094,0.22503,0.52386,0.2966,0.22689,0.95025,6.10652,1.07395,0.000321657,0.000321657,0.000321657
17,45.3328,0.94879,5.40756,1.02272,0.23103,0.58086,0.3126,0.23545,0.98543,5.79709,1.10745,0.000319301,0.000319301,0.000319301
18,47.5926,0.95314,5.45417,1.02265,0.25055,0.67635,0.33227,0.24461,1.02661,5.24465,1.12232,0.000316945,0.000316945,0.000316945
19,49.67,0.98475,5.38426,1.03624,0.23848,0.6913,0.3411,0.25503,0.95806,5.07167,1.09845,0.000314588,0.000314588,0.000314588
