target_id,calibrated_at,target_x,target_y,target_heading,points,fit_dx,fit_dy
1,2026-09-24 09:22:54,634.8,264.2,93.2,109,-0.98,-17.62
2,2026-09-24 09:26:08,644.2,352.6,39.4,114,13.86,-11.37
3,2026-09-24 09:31:50,536.8,278.1,138.1,99,-20.97,-18.82
4,2026-09-24 09:35:58,614.8,339.4,-53.4,114,10.64,14.32
5,2026-09-24 09:36:19,446.0,443.0,26.9,112,21.05,-10.65
6,2026-09-24 09:37:15,700.4,247.9,61.2,113,7.12,-12.94
7,2026-09-24 09:43:42,551.2,199.0,-15.1,114,17.81,4.8
8,2026-09-24 09:45:34,676.6,347.6,-92.6,113,-0.75,16.4
9,2026-09-24 09:47:33,727.7,209.2,16.2,114,13.68,-3.97
10,2026-09-24 09:52:14,568.3,113.6,155.5,114,-14.29,-6.5
11,2026-09-24 09:53:43,648.9,228.6,-176.0,113,-17.56,1.24
